level,ai_method,run,steps,time_ms,cost,success,replans,fallbacks
1,random,1,198,690137.71,7029,True,0,0
1,random,2,328,1319956.12,13396,True,0,0
1,random,3,144,569953.75,5787,True,0,0
1,random,4,94,239974.5,2470,True,0,0
1,random,5,276,1140945.04,11166,True,0,0
1,random,6,194,699937.92,7124,True,0,0
1,random,7,86,489962.62,4937,True,0,0
1,random,8,32,89913.0,923,True,0,0
1,random,9,260,1149981.42,11645,True,0,0
1,random,10,134,409952.71,4193,True,0,0
1,random,11,230,849970.21,8645,True,0,0
1,random,12,246,709980.17,7275,True,0,0
1,random,13,94,299978.79,3064,True,0,0
1,random,14,362,1389990.87,14123,True,0,0
1,random,15,328,1279934.58,13000,True,0,0
1,random,16,92,229972.79,2369,True,0,0
1,random,17,72,199974.08,2052,True,0,0
1,random,18,518,1979992.29,20120,True,0,0
1,random,19,112,399949.58,4072,True,0,0
1,random,20,198,509976.17,5247,True,0,0
1,random,21,174,700006.75,7104,True,0,0
1,random,22,420,1679932.42,17052,True,0,0
1,random,23,332,1099961.71,11222,True,0,0
1,random,24,428,1509976.38,15377,True,0,0
1,random,25,90,349983.62,3555,True,0,0
1,random,26,150,419954.71,4308,True,0,0
1,random,27,140,359983.0,3704,True,0,0
1,random,28,232,889987.42,9043,True,0,0
1,random,29,346,1219939.67,12424,True,0,0
1,random,30,108,329922.08,3375,True,0,0
1,random_noise,1,318,1239938.46,12594,True,0,0
1,random_noise,2,185,499929.62,5134,True,0,0
1,random_noise,3,271,999947.96,10170,True,0,0
1,random_noise,4,1000,3459974.92,35250,False,0,0
1,random_noise,5,427,1569930.42,15969,True,0,0
1,random_noise,6,556,1749969.5,17879,True,0,0
1,random_noise,7,50,179974.29,1832,True,0,0
1,random_noise,8,536,1899977.88,19344,True,0,0
1,random_noise,9,170,709971.63,7199,True,0,0
1,random_noise,10,306,1199948.5,12186,True,0,0
1,random_noise,11,106,259980.08,2678,True,0,0
1,random_noise,12,438,1684992.75,16771,True,0,0
1,random_noise,13,102,409955.75,4161,True,0,0
1,random_noise,14,343,1279961.75,13014,True,0,0
1,random_noise,15,938,3587930.96,36275,True,0,0
1,random_noise,16,222,679920.54,6954,True,0,0
1,random_noise,17,106,299965.83,3076,True,0,0
1,random_noise,18,199,669957.0,6831,True,0,0
1,random_noise,19,66,249963.92,2539,True,0,0
1,random_noise,20,180,629984.5,6120,True,0,0
1,random_noise,21,46,169949.71,1729,True,0,0
1,random_noise,22,50,89949.0,941,True,0,0
1,random_noise,23,106,279966.58,2878,True,0,0
1,random_noise,24,79,299986.71,3048,True,0,0
1,random_noise,25,72,239940.46,2448,True,0,0
1,random_noise,26,80,259921.04,2654,True,0,0
1,random_noise,27,152,479961.92,4904,True,0,0
1,random_noise,28,374,1437956.13,14232,True,0,0
1,random_noise,29,216,569926.42,5859,True,0,0
1,random_noise,30,34,69948.29,727,True,0,0
1,greedy,1,16,59871.5,610,True,0,0
1,greedy,2,16,59950.08,610,True,0,0
1,greedy,3,16,59956.5,610,True,0,0
1,greedy,4,16,59967.42,610,True,0,0
1,greedy,5,16,59964.96,610,True,0,0
1,greedy,6,16,59982.46,610,True,0,0
1,greedy,7,16,59905.92,610,True,0,0
1,greedy,8,16,59947.21,610,True,0,0
1,greedy,9,16,59969.83,610,True,0,0
1,greedy,10,16,59954.04,610,True,0,0
1,greedy,11,16,59966.21,610,True,0,0
1,greedy,12,16,59969.38,610,True,0,0
1,greedy,13,16,59972.58,610,True,0,0
1,greedy,14,16,59967.46,610,True,0,0
1,greedy,15,16,59964.54,610,True,0,0
1,greedy,16,16,59974.29,610,True,0,0
1,greedy,17,16,59968.75,610,True,0,0
1,greedy,18,16,59971.71,610,True,0,0
1,greedy,19,16,59983.5,610,True,0,0
1,greedy,20,16,59964.71,610,True,0,0
1,greedy,21,16,59974.29,610,True,0,0
1,greedy,22,16,59967.21,610,True,0,0
1,greedy,23,16,59944.17,610,True,0,0
1,greedy,24,16,59971.38,610,True,0,0
1,greedy,25,16,59973.0,610,True,0,0
1,greedy,26,16,59974.63,610,True,0,0
1,greedy,27,16,85946.67,610,True,0,0
1,greedy,28,16,59916.54,610,True,0,0
1,greedy,29,16,59927.08,610,True,0,0
1,greedy,30,16,59947.5,610,True,0,0
1,greedy_noise,1,465,1765044.71,17391,True,0,0
1,greedy_noise,2,22,89741.29,911,True,2,0
1,greedy_noise,3,19,49924.67,513,True,1,0
1,greedy_noise,4,19,49945.21,513,True,1,0
1,greedy_noise,5,76,229947.0,2353,True,0,0
1,greedy_noise,6,19,49918.12,513,True,1,0
1,greedy_noise,7,16,49941.42,511,True,0,0
1,greedy_noise,8,17,59948.04,610,True,1,0
1,greedy_noise,9,19,79953.21,810,True,1,0
1,greedy_noise,10,18,59936.25,612,True,0,0
1,greedy_noise,11,54,229876.71,2331,True,0,0
1,greedy_noise,12,16,59932.46,610,True,0,0
1,greedy_noise,13,16,6.33,16,True,0,0
1,greedy_noise,14,18,49872.5,513,True,0,0
1,greedy_noise,15,17,59952.38,610,True,1,0
1,greedy_noise,16,18,59938.54,612,True,0,0
1,greedy_noise,17,16,59962.17,610,True,0,0
1,greedy_noise,18,17,59965.08,610,True,1,0
1,greedy_noise,19,17,59965.21,610,True,1,0
1,greedy_noise,20,16,59915.71,610,True,0,0
1,greedy_noise,21,21,39943.79,416,True,1,0
1,greedy_noise,22,16,59963.67,610,True,0,0
1,greedy_noise,23,16,69954.12,709,True,0,0
1,greedy_noise,24,23,69947.92,713,True,3,0
1,greedy_noise,25,16,29971.08,313,True,0,0
1,greedy_noise,26,16,59954.75,610,True,0,0
1,greedy_noise,27,17,59953.04,610,True,1,0
1,greedy_noise,28,28,79984.96,816,True,4,0
1,greedy_noise,29,384,1444961.83,14044,True,1,0
1,greedy_noise,30,23,78125.13,715,True,1,0
1,a_star,1,16,8.87,16,True,0,0
1,a_star,2,16,4.75,16,True,0,0
1,a_star,3,16,4.71,16,True,0,0
1,a_star,4,16,4.54,16,True,0,0
1,a_star,5,16,4.5,16,True,0,0
1,a_star,6,16,4.42,16,True,0,0
1,a_star,7,16,4.42,16,True,0,0
1,a_star,8,16,4.5,16,True,0,0
1,a_star,9,16,4.5,16,True,0,0
1,a_star,10,16,4.5,16,True,0,0
1,a_star,11,16,4.5,16,True,0,0
1,a_star,12,16,4.58,16,True,0,0
1,a_star,13,16,4.58,16,True,0,0
1,a_star,14,16,4.38,16,True,0,0
1,a_star,15,16,4.63,16,True,0,0
1,a_star,16,16,4.46,16,True,0,0
1,a_star,17,16,4.42,16,True,0,0
1,a_star,18,16,4.42,16,True,0,0
1,a_star,19,16,4.33,16,True,0,0
1,a_star,20,16,4.42,16,True,0,0
1,a_star,21,16,4.38,16,True,0,0
1,a_star,22,16,4.33,16,True,0,0
1,a_star,23,16,4.38,16,True,0,0
1,a_star,24,16,4.42,16,True,0,0
1,a_star,25,16,4.46,16,True,0,0
1,a_star,26,16,4.33,16,True,0,0
1,a_star,27,16,4.46,16,True,0,0
1,a_star,28,16,12.83,16,True,0,0
1,a_star,29,16,10.29,16,True,0,0
1,a_star,30,16,9.92,16,True,0,0
1,a_star_noise,1,18,41302.88,315,True,0,0
1,a_star_noise,2,16,9889.04,115,True,0,0
1,a_star_noise,3,16,29789.21,313,True,0,0
1,a_star_noise,4,16,9919.87,115,True,0,0
1,a_star_noise,5,16,29907.92,313,True,0,0
1,a_star_noise,6,16,39939.46,412,True,0,0
1,a_star_noise,7,16,39919.71,412,True,0,0
1,a_star_noise,8,23,89857.83,913,True,1,0
1,a_star_noise,9,16,5.42,16,True,0,0
1,a_star_noise,10,20,79865.54,812,True,0,0
1,a_star_noise,11,16,29922.33,313,True,0,0
1,a_star_noise_fallback,12,661,2339991.08,23822,False,0,1
1,a_star_noise_fallback,13,16,8.46,16,True,0,0
1,a_star_noise_fallback,14,16,29756.0,313,True,0,0
1,a_star_noise_fallback,15,19,79875.42,810,True,1,0
1,a_star_noise_fallback,16,18,39920.04,414,True,0,0
1,a_star_noise_fallback,17,18,9958.29,117,True,0,0
1,a_star_noise_fallback,18,16,9941.46,115,True,0,0
1,a_star_noise_fallback,19,16,5.87,16,True,0,0
1,a_star_noise_fallback,20,16,5.29,16,True,0,0
1,a_star_noise_fallback,21,16,9865.04,115,True,0,0
1,a_star_noise_fallback,22,18,19935.75,216,True,0,0
1,a_star_noise_fallback,23,16,39919.29,412,True,0,0
1,a_star_noise_fallback,24,16,29912.25,313,True,0,0
1,a_star_noise_fallback,25,18,19929.04,216,True,0,0
1,a_star_noise_fallback,26,16,29903.08,313,True,0,0
1,a_star_noise_fallback,27,16,39904.29,412,True,0,0
1,a_star_noise_fallback,28,16,29916.5,313,True,0,0
1,a_star_noise_fallback,29,16,29922.83,313,True,0,0
1,a_star_noise_fallback,30,18,19952.46,216,True,0,0
1,bfs,1,16,59902.08,610,True,0,0
1,bfs,2,16,59945.33,610,True,0,0
1,bfs,3,16,59936.0,610,True,0,0
1,bfs,4,16,59938.46,610,True,0,0
1,bfs,5,16,59948.0,610,True,0,0
1,bfs,6,16,59955.21,610,True,0,0
1,bfs,7,16,59948.04,610,True,0,0
1,bfs,8,16,59948.37,610,True,0,0
1,bfs,9,16,59948.71,610,True,0,0
1,bfs,10,16,59951.17,610,True,0,0
1,bfs,11,16,59955.87,610,True,0,0
1,bfs,12,16,59942.29,610,True,0,0
1,bfs,13,16,59951.29,610,True,0,0
1,bfs,14,16,59955.92,610,True,0,0
1,bfs,15,16,59948.13,610,True,0,0
1,bfs,16,16,59952.79,610,True,0,0
1,bfs,17,16,59950.83,610,True,0,0
1,bfs,18,16,59950.46,610,True,0,0
1,bfs,19,16,59870.08,610,True,0,0
1,bfs,20,16,59950.92,610,True,0,0
1,bfs,21,16,59951.42,610,True,0,0
1,bfs,22,16,59956.67,610,True,0,0
1,bfs,23,16,59951.29,610,True,0,0
1,bfs,24,16,59951.83,610,True,0,0
1,bfs,25,16,59952.83,610,True,0,0
1,bfs,26,16,59958.5,610,True,0,0
1,bfs,27,16,59917.92,610,True,0,0
1,bfs,28,16,59948.42,610,True,0,0
1,bfs,29,16,59952.13,610,True,0,0
1,bfs,30,16,59955.08,610,True,0,0
1,bfs_noise,1,17,29974.25,313,True,1,0
1,bfs_noise,2,16,39869.0,412,True,0,0
1,bfs_noise,3,16,59939.92,610,True,0,0
1,bfs_noise,4,19,59934.25,610,True,3,0
1,bfs_noise,5,16,59942.25,610,True,0,0
1,bfs_noise,6,16,69932.04,709,True,0,0
1,bfs_noise,7,16,29936.58,313,True,0,0
1,bfs_noise,8,16,69937.67,709,True,0,0
1,bfs_noise,9,16,59939.0,610,True,0,0
1,bfs_noise,10,17,59966.54,610,True,1,0
1,bfs_noise,11,21,49894.42,515,True,1,0
1,bfs_noise,12,17,79924.46,808,True,1,0
1,bfs_noise,13,22,69942.83,713,True,2,0
1,bfs_noise,14,17,79940.92,808,True,1,0
1,bfs_noise,15,23,79974.71,812,True,3,0
1,bfs_noise,16,18,59902.96,610,True,2,0
1,bfs_noise,17,17,69939.5,709,True,1,0
1,bfs_noise,18,16,59939.33,610,True,0,0
1,bfs_noise,19,16,59936.37,610,True,0,0
1,bfs_noise,20,57,199931.21,2036,True,1,0
1,bfs_noise,21,16,59930.08,610,True,0,0
1,bfs_noise,22,17,39932.21,412,True,1,0
1,bfs_noise,23,16,59938.21,610,True,0,0
1,bfs_noise,24,17,39936.79,412,True,1,0
1,bfs_noise,25,16,59943.67,610,True,0,0
1,bfs_noise,26,17,59938.79,610,True,1,0
1,bfs_noise,27,16,59936.71,610,True,0,0
1,bfs_noise,28,16,59942.92,610,True,0,0
1,bfs_noise,29,22,69933.75,711,True,4,0
1,bfs_noise,30,16,59953.25,610,True,0,0
1,ucs,1,16,11.63,16,True,0,0
1,ucs,2,16,8.83,16,True,0,0
1,ucs,3,16,7.29,16,True,0,0
1,ucs,4,16,8.58,16,True,0,0
1,ucs,5,16,8.46,16,True,0,0
1,ucs,6,16,8.21,16,True,0,0
1,ucs,7,16,6.75,16,True,0,0
1,ucs,8,16,6.0,16,True,0,0
1,ucs,9,16,7.12,16,True,0,0
1,ucs,10,16,5.92,16,True,0,0
1,ucs,11,16,5.92,16,True,0,0
1,ucs,12,16,6.25,16,True,0,0
1,ucs,13,16,5.83,16,True,0,0
1,ucs,14,16,6.17,16,True,0,0
1,ucs,15,16,6.04,16,True,0,0
1,ucs,16,16,6.08,16,True,0,0
1,ucs,17,16,5.88,16,True,0,0
1,ucs,18,16,6.87,16,True,0,0
1,ucs,19,16,6.87,16,True,0,0
1,ucs,20,16,6.21,16,True,0,0
1,ucs,21,16,6.04,16,True,0,0
1,ucs,22,16,6.25,16,True,0,0
1,ucs,23,16,6.62,16,True,0,0
1,ucs,24,16,6.13,16,True,0,0
1,ucs,25,16,6.42,16,True,0,0
1,ucs,26,16,7.04,16,True,0,0
1,ucs,27,16,6.88,16,True,0,0
1,ucs,28,16,7.04,16,True,0,0
1,ucs,29,16,5.92,16,True,0,0
1,ucs,30,16,6.17,16,True,0,0
1,ucs_noise,1,16,39661.04,412,True,0,0
1,ucs_noise,2,16,29914.42,313,True,0,0
1,ucs_noise,3,18,39916.17,414,True,0,0
1,ucs_noise,4,16,29930.92,313,True,0,0
1,ucs_noise,5,16,6.83,16,True,0,0
1,ucs_noise_fallback,6,116,389956.21,3977,False,0,1
1,ucs_noise_fallback,7,16,29881.04,313,True,0,0
1,ucs_noise_fallback,8,16,29911.0,313,True,0,0
1,ucs_noise_fallback,9,16,9951.83,115,True,0,0
1,ucs_noise_fallback,10,16,39911.58,412,True,0,0
1,ucs_noise_fallback,11,307,939987.46,9612,True,0,1
1,ucs_noise_fallback,12,18,39911.58,414,True,0,0
1,ucs_noise_fallback,13,16,7.38,16,True,0,0
1,ucs_noise_fallback,14,16,29859.75,313,True,0,0
1,ucs_noise_fallback,15,16,6.42,16,True,0,0
1,ucs_noise_fallback,16,16,29883.58,313,True,0,0
1,ucs_noise_fallback,17,303,1019985.29,10400,True,0,1
1,ucs_noise_fallback,18,281,969942.63,9883,True,0,1
1,ucs_noise_fallback,19,175,449913.21,4627,True,0,1
1,ucs_noise_fallback,20,16,9952.71,115,True,0,0
1,ucs_noise_fallback,21,16,39911.79,412,True,0,0
1,ucs_noise_fallback,22,16,29915.25,313,True,0,0
1,ucs_noise_fallback,23,16,29920.33,313,True,0,0
1,ucs_noise_fallback,24,25,89901.92,915,True,1,0
1,ucs_noise_fallback,25,18,9956.08,117,True,0,0
1,ucs_noise_fallback,26,16,59942.37,610,True,0,0
1,ucs_noise_fallback,27,16,29925.46,313,True,0,0
1,ucs_noise_fallback,28,16,49914.96,511,True,0,0
1,ucs_noise_fallback,29,16,29925.33,313,True,0,0
1,ucs_noise_fallback,30,18,9963.92,117,True,0,0
2,random,1,832,2259885.04,23206,True,0,0
2,random,2,324,899944.54,9234,True,0,0
2,random,3,550,1522943.12,15499,True,0,0
2,random,4,210,569950.21,5853,True,0,0
2,random,5,1000,2409971.79,24859,False,0,0
2,random,6,824,2502924.79,25475,True,0,0
2,random,7,742,1899940.29,19552,True,0,0
2,random,8,1000,2399942.38,24760,False,0,0
2,random,9,794,2459936.62,25148,True,0,0
2,random,10,1000,1971919.88,20404,False,0,0
2,random,11,1000,2139914.46,22186,False,0,0
2,random,12,782,1843967.08,18800,True,0,0
2,random,13,1000,2339908.58,24166,False,0,0
2,random,14,742,2179947.08,22324,True,0,0
2,random,15,1000,2789925.71,28621,False,0,0
2,random,16,1000,2569975.92,26443,False,0,0
2,random,17,1000,2179924.04,22582,True,0,0
2,random,18,1000,2634955.08,26938,False,0,0
2,random,19,1000,1969947.08,20503,False,0,0
2,random,20,866,1819948.37,18884,True,0,0
2,random,21,1000,2284946.0,23572,False,0,0
2,random,22,1000,2529960.12,26047,False,0,0
2,random,23,638,1949951.79,19943,True,0,0
2,random,24,720,1816939.33,18342,True,0,0
2,random,25,330,779966.58,8052,True,0,0
2,random,26,890,2199998.96,22670,True,0,0
2,random,27,840,2619838.54,26679,True,0,0
2,random,28,1000,1989941.33,20701,False,0,0
2,random,29,1000,2399953.5,24760,False,0,0
2,random,30,1000,2579918.29,26542,False,0,0
2,random_noise,1,1000,1969922.21,20498,False,0,0
2,random_noise,2,664,1533920.96,15710,True,0,0
2,random_noise,3,273,480966.25,4725,True,0,0
2,random_noise,4,851,1771955.58,18274,True,0,0
2,random_noise,5,1000,2469900.25,25449,False,0,0
2,random_noise,6,1000,2469927.96,25450,False,0,0
2,random_noise,7,776,1555387.63,16117,True,0,0
2,random_noise,8,1000,2804455.37,28714,False,0,0
2,random_noise,9,1000,2729919.58,28016,False,0,0
2,random_noise,10,830,1999931.21,20624,True,0,0
2,random_noise,11,894,2489944.21,25539,True,0,0
2,random_noise,12,168,569920.71,5811,True,0,0
2,random_noise,13,875,2449941.17,25125,True,0,0
2,random_noise,14,1000,2299914.25,23761,False,0,0
2,random_noise,15,1000,1969964.17,20493,False,0,0
2,random_noise,16,320,1099922.67,11204,True,0,0
2,random_noise,17,1000,2436958.58,24852,False,0,0
2,random_noise,18,454,1109949.0,11439,True,0,0
2,random_noise,19,801,1709939.83,17729,True,0,0
